Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
09/27/2024,Sell to Close,IWM 01/17/2025 221.00 C,CALL ISHR RUSSELL 2000 $221 EXP 01/17/25,1,$11.59,$0.69,"$1,158.31"
09/27/2024,Sell to Close,IWM 01/17/2025 225.00 C,CALL ISHR RUSSELL 2000 $225 EXP 01/17/25,1,$9.49,$0.69,$948.31
09/27/2024,Sell to Close,AMZN 10/04/2024 192.50 C,CALL AMAZON.COM INC $192.5 EXP 10/04/24,2,$1.71,$1.34,$340.66
09/27/2024,Sell to Close,AMZN 10/11/2024 195.00 C,CALL AMAZON.COM INC $195 EXP 10/11/24,1,$1.90,$0.67,$189.33
09/27/2024,Sell to Close,TSLA 10/11/2024 270.00 C,CALL TESLA INC $270 EXP 10/11/24,2,$10.80,$1.39,"$2,158.61"
09/27/2024,Sell to Close,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$13.10,$0.70,"$1,309.30"
09/26/2024,Buy to Open,SPY 10/25/2024 560.00 P,PUT SPDR S&P 500 $560 EXP 10/25/24,1,$3.57,$0.66,-$357.66
09/26/2024,Buy,WULF,TERAWULF INC,100,$4.9856,,-$498.56
09/26/2024,Sell to Close,FXI 10/25/2024 32.00 C,CALL ISHR CHINA LRG CAP $32 EXP 10/25/24,3,$1.33,$2.00,$397.00
09/26/2024,Buy to Open,TSLA 10/11/2024 270.00 C,CALL TESLA INC $270 EXP 10/11/24,1,$10.00,$0.66,"-$1,000.66"
09/26/2024,Buy,WULF,TERAWULF INC,100,$5.205,,-$520.50
09/26/2024,Buy to Open,FXI 10/25/2024 32.00 C,CALL ISHR CHINA LRG CAP $32 EXP 10/25/24,3,$1.32,$1.98,-$397.98
09/26/2024,Buy to Open,SPY 10/25/2024 565.00 P,PUT SPDR S&P 500 $565 EXP 10/25/24,2,$5.09,$1.32,"-$1,019.32"
09/26/2024,Buy to Open,AMZN 10/11/2024 195.00 C,CALL AMAZON.COM INC $195 EXP 10/11/24,1,$2.50,$0.66,-$250.66
09/26/2024,Buy to Open,AMZN 10/04/2024 192.50 C,CALL AMAZON.COM INC $192.5 EXP 10/04/24,2,$2.35,$1.32,-$471.32
09/26/2024,Sell to Close,TSLA 10/11/2024 260.00 C,CALL TESLA INC $260 EXP 10/11/24,1,$14.20,$0.70,"$1,419.30"
09/26/2024,Sell to Close,AMZN 10/11/2024 195.00 C,CALL AMAZON.COM INC $195 EXP 10/11/24,1,$2.17,$0.67,$216.33
09/26/2024,Sell to Close,UBER 10/25/2024 80.00 C,CALL UBER TECHNOLOGIES I$80 EXP 10/25/24,3,$1.36,$2.00,$406.00
09/26/2024,Sell,NIO,NIO INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS,"1,000",$5.8001,$0.33,"$5,799.77"
09/26/2024,Buy,WULF,TERAWULF INC,100,$4.9965,,-$499.65
09/26/2024,Buy to Close,AMZN 10/04/2024 192.50 C,CALL AMAZON.COM INC $192.5 EXP 10/04/24,8,$1.91,$5.29,"-$1,533.29"
09/26/2024,Sell to Close,AMZN 10/04/2024 192.50 C,CALL AMAZON.COM INC $192.5 EXP 10/04/24,2,$1.88,$1.36,$374.64
09/26/2024,Sell to Open,AMZN 10/04/2024 192.50 C,CALL AMAZON.COM INC $192.5 EXP 10/04/24,8,$1.88,$5.35,"$1,498.65"
09/26/2024,Sell to Close,TSLA 09/27/2024 255.00 C,CALL TESLA INC $255 EXP 09/27/24,1,$5.15,$0.67,$514.33
09/26/2024,Sell to Close,AMD 10/11/2024 165.00 C,CALL ADVANCED MICRO DEVI$165 EXP 10/11/24,1,$7.45,$0.68,$744.32
09/26/2024,Sell to Close,NVDA 10/04/2024 125.00 C,CALL NVIDIA CORP $125 EXP 10/04/24,1,$4.20,$0.67,$419.33
09/26/2024,Sell to Close,TSLA 09/27/2024 255.00 C,CALL TESLA INC $255 EXP 09/27/24,1,$6.37,$0.68,$636.32
09/26/2024,Sell to Close,NVDA 10/04/2024 125.00 C,CALL NVIDIA CORP $125 EXP 10/04/24,1,$4.30,$0.67,$429.33
09/25/2024,Buy to Open,AMD 10/11/2024 165.00 C,CALL ADVANCED MICRO DEVI$165 EXP 10/11/24,1,$5.15,$0.66,-$515.66
09/25/2024,Sell to Close,META 09/27/2024 580.00 C,CALL META PLATFORMS INC $580 EXP 09/27/24,1,$3.45,$0.67,$344.33
09/25/2024,Buy to Open,META 09/27/2024 580.00 C,CALL META PLATFORMS INC $580 EXP 09/27/24,1,$3.40,$0.66,-$340.66
09/25/2024,Sell to Close,NVDA 10/04/2024 125.00 C,CALL NVIDIA CORP $125 EXP 10/04/24,1,$3.55,$0.67,$354.33
09/25/2024,Buy to Open,TSLA 10/11/2024 270.00 C,CALL TESLA INC $270 EXP 10/11/24,1,$9.90,$0.66,-$990.66
09/25/2024,Buy to Open,NVDA 10/04/2024 125.00 C,CALL NVIDIA CORP $125 EXP 10/04/24,1,$2.89,$0.66,-$289.66
09/25/2024,Buy to Open,NVDA 10/04/2024 125.00 C,CALL NVIDIA CORP $125 EXP 10/04/24,1,$2.71,$0.66,-$271.66
09/25/2024,Sell to Close,NVDA 11/15/2024 125.00 C,CALL NVIDIA CORP $125 EXP 11/15/24,1,$8.50,$0.68,$849.32
09/25/2024,Buy to Open,NVDA 10/04/2024 125.00 C,CALL NVIDIA CORP $125 EXP 10/04/24,1,$2.64,$0.66,-$264.66
09/25/2024,Sell to Close,TSLA 10/11/2024 260.00 C,CALL TESLA INC $260 EXP 10/11/24,1,$14.30,$0.70,"$1,429.30"
09/24/2024,Buy to Open,UBER 10/25/2024 80.00 C,CALL UBER TECHNOLOGIES I$80 EXP 10/25/24,3,$1.95,$1.98,-$586.98
09/24/2024,Buy,WULF,TERAWULF INC,100,$4.9462,,-$494.62
09/24/2024,Sell to Close,NVDA 11/15/2024 125.00 C,CALL NVIDIA CORP $125 EXP 11/15/24,1,$7.65,$0.68,$764.32
09/24/2024,Buy to Open,NVDA 11/15/2024 125.00 C,CALL NVIDIA CORP $125 EXP 11/15/24,1,$5.40,$0.66,-$540.66
09/24/2024,Sell to Close,TTD 10/18/2024 110.00 C,CALL THE TRADE DESK INC $110 EXP 10/18/24,1,$2.84,$0.67,$283.33
09/23/2024,Buy,WULF,TERAWULF INC,300,$4.94,,"-$1,482.00"
09/23/2024,Buy to Open,TSLA 09/27/2024 255.00 C,CALL TESLA INC $255 EXP 09/27/24,1,$3.33,$0.66,-$333.66
09/23/2024,Buy to Open,TSLA 09/27/2024 255.00 C,CALL TESLA INC $255 EXP 09/27/24,1,$3.75,$0.66,-$375.66
09/23/2024,Buy to Open,TTD 10/18/2024 110.00 C,CALL THE TRADE DESK INC $110 EXP 10/18/24,1,$2.87,$0.66,-$287.66
09/23/2024,Buy to Open,IWM 01/17/2025 225.00 C,CALL ISHR RUSSELL 2000 $225 EXP 01/17/25,1,$10.09,$0.66,"-$1,009.66"
09/23/2024,Buy to Open,NVDA 11/15/2024 125.00 C,CALL NVIDIA CORP $125 EXP 11/15/24,1,$5.55,$0.66,-$555.66
09/23/2024,Buy to Open,AMZN 10/11/2024 195.00 C,CALL AMAZON.COM INC $195 EXP 10/11/24,1,$3.10,$0.66,-$310.66
09/23/2024,Buy to Open,AMZN 10/04/2024 192.50 C,CALL AMAZON.COM INC $192.5 EXP 10/04/24,2,$3.35,$1.32,-$671.32
09/23/2024,Sell to Close,WMT 11/15/2024 75.00 P,PUT WALMART INC $75 EXP 11/15/24,5,$0.69,$3.32,$341.68
09/23/2024,Buy to Open,TSLA 10/11/2024 260.00 C,CALL TESLA INC $260 EXP 10/11/24,1,$9.15,$0.66,-$915.66
09/23/2024 as of 09/20/2024,Expired,TSLA 09/20/2024 240.00 C,CALL TESLA INC $240 EXP 09/20/24,-3,,,
09/20/2024,Buy to Open,TSLA 09/20/2024 240.00 C,CALL TESLA INC $240 EXP 09/20/24,3,$0.16,$1.98,-$49.98
09/20/2024,Buy to Open,TSLA 10/11/2024 260.00 C,CALL TESLA INC $260 EXP 10/11/24,1,$6.95,$0.66,-$695.66
09/19/2024,Buy,NIO,NIO INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS,"1,000",$5.3895,,"-$5,389.50"
09/19/2024,Buy to Open,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$8.50,$0.66,-$850.66
09/19/2024,Sell to Close,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$8.65,$0.68,$864.32
09/19/2024,Sell to Close,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$8.40,$0.68,$839.32
09/19/2024,Sell to Close,META 09/27/2024 555.00 C,CALL META PLATFORMS INC $555 EXP 09/27/24,1,$8.70,$0.68,$869.32
09/19/2024,Buy to Open,META 09/27/2024 555.00 C,CALL META PLATFORMS INC $555 EXP 09/27/24,1,$8.40,$0.66,-$840.66
09/19/2024,Sell to Close,META 09/27/2024 550.00 C,CALL META PLATFORMS INC $550 EXP 09/27/24,1,$10.90,$0.69,"$1,089.31"
09/19/2024,Sell to Close,GOOGL 09/27/2024 162.50 C,CALL ALPHABET INC $162.5 EXP 09/27/24,1,$2.36,$0.67,$235.33
09/19/2024,Sell to Close,AMZN 09/20/2024 190.00 C,CALL AMAZON.COM INC $190 EXP 09/20/24,1,$1.14,$0.66,$113.34
09/19/2024,Sell to Close,GOOGL 09/27/2024 162.50 C,CALL ALPHABET INC $162.5 EXP 09/27/24,1,$2.18,$0.67,$217.33
09/19/2024,Sell to Close,META 09/27/2024 550.00 C,CALL META PLATFORMS INC $550 EXP 09/27/24,1,$9.10,$0.69,$909.31
09/19/2024,Sell to Close,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$6.55,$0.68,$654.32
09/19/2024,Sell to Close,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,1,$2.35,$0.67,$234.33
09/19/2024,Sell to Close,SPY 09/19/2024 569.00 C,CALL SPDR S&P 500 $569 EXP 09/19/24,3,$2.4567,$2.01,$734.99
09/18/2024,Buy to Open,SPY 09/19/2024 569.00 C,CALL SPDR S&P 500 $569 EXP 09/19/24,3,$0.32,$1.98,-$97.98
09/18/2024,Sell to Close,IWM 01/17/2025 221.00 C,CALL ISHR RUSSELL 2000 $221 EXP 01/17/25,1,$14.70,$0.70,"$1,469.30"
09/18/2024,Sell to Close,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,1,$1.71,$0.66,$170.34
09/18/2024,Buy to Open,META 09/27/2024 550.00 C,CALL META PLATFORMS INC $550 EXP 09/27/24,1,$6.10,$0.66,-$610.66
09/18/2024,Sell to Close,MU 09/20/2024 92.00 C,CALL MICRON TECHNOLOGY I$92 EXP 09/20/24,1,$0.48,$0.66,$47.34
09/17/2024,Buy to Open,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$4.55,$0.66,-$455.66
09/17/2024,Sell,FBL,GRANITESHARES META DAILYETF,100,$28.75,$0.10,"$2,874.90"
09/17/2024,Sell to Close,IWM 01/17/2025 225.00 C,CALL ISHR RUSSELL 2000 $225 EXP 01/17/25,1,$10.73,$0.69,"$1,072.31"
09/17/2024,Sell to Close,TNA 09/20/2024 44.00 C,CALL DRXN SMLCAP BULL 3X$44 EXP 09/20/24,1,$1.89,$0.67,$188.33
09/17/2024,Sell to Close,TNA 09/20/2024 44.00 C,CALL DRXN SMLCAP BULL 3X$44 EXP 09/20/24,1,$1.83,$0.67,$182.33
09/17/2024,Sell to Close,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,2,$1.82,$1.34,$362.66
09/17/2024,Sell to Close,TNA 09/20/2024 44.00 C,CALL DRXN SMLCAP BULL 3X$44 EXP 09/20/24,2,$1.50,$1.34,$298.66
09/17/2024,Sell to Close,AMZN 09/20/2024 187.50 C,CALL AMAZON.COM INC $187.5 EXP 09/20/24,1,$2.82,$0.67,$281.33
09/17/2024,Buy to Open,AMZN 09/20/2024 190.00 C,CALL AMAZON.COM INC $190 EXP 09/20/24,1,$1.58,$0.66,-$158.66
09/17/2024,Sell to Close,META 09/20/2024 530.00 C,CALL META PLATFORMS INC $530 EXP 09/20/24,1,$12.70,$0.70,"$1,269.30"
09/17/2024,Sell to Close,AMZN 09/20/2024 187.50 C,CALL AMAZON.COM INC $187.5 EXP 09/20/24,2,$2.19,$1.34,$436.66
09/16/2024,Buy to Open,AMZN 09/20/2024 187.50 C,CALL AMAZON.COM INC $187.5 EXP 09/20/24,1,$1.41,$0.66,-$141.66
09/16/2024,Buy to Open,META 09/27/2024 550.00 C,CALL META PLATFORMS INC $550 EXP 09/27/24,1,$5.08,$0.66,-$508.66
09/16/2024,Buy to Open,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,1,$1.15,$0.66,-$115.66
09/16/2024,Sell to Close,META 09/20/2024 525.00 C,CALL META PLATFORMS INC $525 EXP 09/20/24,1,$9.70,$0.69,$969.31
09/16/2024,Buy to Open,META 09/20/2024 530.00 C,CALL META PLATFORMS INC $530 EXP 09/20/24,1,$7.00,$0.66,-$700.66
09/16/2024,Buy to Open,AMZN 09/20/2024 187.50 C,CALL AMAZON.COM INC $187.5 EXP 09/20/24,2,$1.35,$1.32,-$271.32
09/16/2024,Buy to Open,TNA 09/20/2024 44.00 C,CALL DRXN SMLCAP BULL 3X$44 EXP 09/20/24,2,$1.12,$1.32,-$225.32
09/16/2024,Buy to Open,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$4.64,$0.66,-$464.66
09/16/2024,Buy to Open,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,2,$1.26,$1.32,-$253.32
09/16/2024,Buy to Open,TSLA 10/04/2024 250.00 C,CALL TESLA INC $250 EXP 10/04/24,1,$4.30,$0.66,-$430.66
09/16/2024,Buy to Open,META 09/20/2024 525.00 C,CALL META PLATFORMS INC $525 EXP 09/20/24,1,$5.95,$0.66,-$595.66
09/16/2024,Buy to Open,GOOGL 09/27/2024 162.50 C,CALL ALPHABET INC $162.5 EXP 09/27/24,2,$1.27,$1.32,-$255.32
09/16/2024,Buy to Open,WMT 11/15/2024 75.00 P,PUT WALMART INC $75 EXP 11/15/24,5,$0.66,$3.30,-$333.30
09/16/2024,Sell to Close,MU 09/20/2024 92.00 C,CALL MICRON TECHNOLOGY I$92 EXP 09/20/24,1,$0.55,$0.66,$54.34
09/16/2024,Sell to Close,TSLA 09/20/2024 240.00 C,CALL TESLA INC $240 EXP 09/20/24,1,$1.65,$0.66,$164.34
09/13/2024,Sell to Close,TLT 10/18/2024 100.00 C,CALL ISHR 20+ TSY $100 EXP 10/18/24,3,$1.99,$2.01,$594.99
09/13/2024,Sell to Close,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,1,$1.24,$0.66,$123.34
09/13/2024,Sell,FBL,GRANITESHARES META DAILYETF,100,$27.53,$0.10,"$2,752.90"
09/13/2024,Sell to Close,AMZN 09/27/2024 190.00 C,CALL AMAZON.COM INC $190 EXP 09/27/24,1,$2.71,$0.67,$270.33
09/13/2024,Buy to Open,MU 09/20/2024 92.00 C,CALL MICRON TECHNOLOGY I$92 EXP 09/20/24,1,$2.02,$0.66,-$202.66
09/13/2024,Buy to Open,TNA 09/20/2024 44.00 C,CALL DRXN SMLCAP BULL 3X$44 EXP 09/20/24,2,$1.08,$1.32,-$217.32
09/13/2024,Buy to Open,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,1,$1.22,$0.66,-$122.66
09/13/2024,Sell to Close,MU 09/20/2024 92.00 C,CALL MICRON TECHNOLOGY I$92 EXP 09/20/24,1,$2.09,$0.67,$208.33
09/13/2024,Sell to Close,GOOGL 09/20/2024 155.00 C,CALL ALPHABET INC $155 EXP 09/20/24,1,$3.35,$0.67,$334.33
09/13/2024,Buy to Open,GOOGL 09/20/2024 160.00 C,CALL ALPHABET INC $160 EXP 09/20/24,1,$1.03,$0.66,-$103.66
09/13/2024,Buy to Open,MU 09/20/2024 92.00 C,CALL MICRON TECHNOLOGY I$92 EXP 09/20/24,1,$1.65,$0.66,-$165.66
09/13/2024,Sell to Close,MU 09/20/2024 90.00 C,CALL MICRON TECHNOLOGY I$90 EXP 09/20/24,1,$2.52,$0.67,$251.33
09/13/2024,Sell to Close,TSLA 09/20/2024 230.00 C,CALL TESLA INC $230 EXP 09/20/24,1,$7.31,$0.68,$730.32
09/13/2024,Buy to Open,TSLA 09/20/2024 240.00 C,CALL TESLA INC $240 EXP 09/20/24,1,$3.34,$0.66,-$334.66
09/13/2024,Sell to Close,GOOGL 09/20/2024 155.00 C,CALL ALPHABET INC $155 EXP 09/20/24,1,$3.10,$0.67,$309.33
09/13/2024,Sell to Close,TSLA 09/13/2024 235.00 C,CALL TESLA INC $235 EXP 09/13/24,1,$0.87,$0.66,$86.34
09/13/2024,Sell to Close,TSLA 09/20/2024 230.00 C,CALL TESLA INC $230 EXP 09/20/24,1,$8.00,$0.68,$799.32
09/13/2024,Sell to Close,TSLA 09/27/2024 230.00 C,CALL TESLA INC $230 EXP 09/27/24,1,$11.10,$0.69,"$1,109.31"
09/13/2024,Sell to Close,TSLA 09/20/2024 230.00 C,CALL TESLA INC $230 EXP 09/20/24,1,$8.35,$0.68,$834.32
09/13/2024,Buy to Open,MU 09/20/2024 92.00 C,CALL MICRON TECHNOLOGY I$92 EXP 09/20/24,1,$1.33,$0.66,-$133.66
09/13/2024,Sell to Close,MU 09/20/2024 90.00 C,CALL MICRON TECHNOLOGY I$90 EXP 09/20/24,2,$2.10,$1.34,$418.66
09/13/2024,Sell to Close,TNA 09/27/2024 40.00 C,CALL DRXN SMLCAP BULL 3X$40 EXP 09/27/24,1,$2.63,$0.67,$262.33
09/13/2024,Sell to Close,TNA 09/27/2024 40.00 C,CALL DRXN SMLCAP BULL 3X$40 EXP 09/27/24,2,$2.56,$1.34,$510.66
09/13/2024,Sell to Close,GOOGL 09/20/2024 155.00 C,CALL ALPHABET INC $155 EXP 09/20/24,2,$2.72,$1.35,$542.65
09/12/2024,Buy to Open,MU 09/20/2024 90.00 C,CALL MICRON TECHNOLOGY I$90 EXP 09/20/24,1,$1.48,$0.66,-$148.66
09/12/2024,Buy to Open,AMZN 09/27/2024 190.00 C,CALL AMAZON.COM INC $190 EXP 09/27/24,1,$2.94,$0.66,-$294.66
09/12/2024,Sell to Close,AMZN 10/11/2024 190.00 C,CALL AMAZON.COM INC $190 EXP 10/11/24,1,$4.70,$0.67,$469.33
09/12/2024,Buy to Open,GOOGL 09/20/2024 155.00 C,CALL ALPHABET INC $155 EXP 09/20/24,2,$2.06,$1.32,-$413.32
09/12/2024,Buy to Open,MU 09/20/2024 90.00 C,CALL MICRON TECHNOLOGY I$90 EXP 09/20/24,2,$1.37,$1.32,-$275.32
09/12/2024,Buy to Open,TNA 09/27/2024 40.00 C,CALL DRXN SMLCAP BULL 3X$40 EXP 09/27/24,3,$1.64,$1.98,-$493.98
09/12/2024,Sell to Close,TNA 10/04/2024 37.00 C,CALL DRXN SMLCAP BULL 3X$37 EXP 10/04/24,2,$3.65,$1.35,$728.65
09/12/2024,Sell to Close,META 09/13/2024 525.00 C,CALL META PLATFORMS INC $525 EXP 09/13/24,1,$1.84,$0.67,$183.33
09/12/2024,Buy to Open,GOOGL 09/20/2024 155.00 C,CALL ALPHABET INC $155 EXP 09/20/24,2,$1.57,$1.32,-$315.32
09/12/2024,Sell to Close,META 09/20/2024 520.00 C,CALL META PLATFORMS INC $520 EXP 09/20/24,1,$9.45,$0.69,$944.31
09/12/2024,Sell to Close,NVDA 09/20/2024 120.00 C,CALL NVIDIA CORP $120 EXP 09/20/24,1,$4.21,$0.67,$420.33
09/11/2024,Sell to Close,AMZN 09/20/2024 185.00 C,CALL AMAZON.COM INC $185 EXP 09/20/24,1,$2.65,$0.67,$264.33
09/11/2024,Sell to Close,NVDA 09/20/2024 115.00 C,CALL NVIDIA CORP $115 EXP 09/20/24,1,$4.60,$0.67,$459.33
09/11/2024,Sell to Close,AMZN 09/20/2024 185.00 C,CALL AMAZON.COM INC $185 EXP 09/20/24,2,$2.69,$1.34,$536.66
09/11/2024,Buy to Open,AMZN 10/11/2024 190.00 C,CALL AMAZON.COM INC $190 EXP 10/11/24,1,$3.08,$0.66,-$308.66
09/11/2024,Sell to Close,AMZN 10/18/2024 180.00 C,CALL AMAZON.COM INC $180 EXP 10/18/24,1,$8.60,$0.68,$859.32
09/11/2024,Sell to Close,NVDA 09/20/2024 115.00 C,CALL NVIDIA CORP $115 EXP 09/20/24,1,$4.10,$0.67,$409.33
09/11/2024,Buy to Open,NVDA 09/20/2024 120.00 C,CALL NVIDIA CORP $120 EXP 09/20/24,1,$2.05,$0.66,-$205.66
09/11/2024,Buy to Open,AMZN 09/20/2024 185.00 C,CALL AMAZON.COM INC $185 EXP 09/20/24,1,$2.06,$0.66,-$206.66
09/11/2024,Sell to Close,AMZN 09/20/2024 182.50 C,CALL AMAZON.COM INC $182.5 EXP 09/20/24,1,$3.15,$0.67,$314.33
09/11/2024,Buy to Open,AMZN 09/20/2024 185.00 C,CALL AMAZON.COM INC $185 EXP 09/20/24,1,$1.85,$0.66,-$185.66
09/11/2024,Sell to Close,AMZN 09/20/2024 182.50 C,CALL AMAZON.COM INC $182.5 EXP 09/20/24,1,$2.88,$0.67,$287.33
09/11/2024,Sell to Close,AVGO 09/13/2024 160.00 C,CALL BROADCOM INC $160 EXP 09/13/24,1,$0.73,$0.66,$72.34
09/11/2024,Sell to Close,SPY 09/11/2024 546.00 C,CALL SPDR S&P 500 $546 EXP 09/11/24,1,$4.46,$0.67,$445.33
09/11/2024,Buy to Open,AMZN 09/20/2024 185.00 C,CALL AMAZON.COM INC $185 EXP 09/20/24,1,$1.94,$0.66,-$194.66
09/11/2024,Sell to Close,AMZN 09/20/2024 182.50 C,CALL AMAZON.COM INC $182.5 EXP 09/20/24,2,$3.00,$1.35,$598.65
09/11/2024,Buy to Open,NVDA 09/20/2024 115.00 C,CALL NVIDIA CORP $115 EXP 09/20/24,1,$3.35,$0.66,-$335.66
09/11/2024,Buy to Open,META 09/20/2024 520.00 C,CALL META PLATFORMS INC $520 EXP 09/20/24,1,$4.20,$0.66,-$420.66
09/11/2024,Buy to Open,TNA 10/04/2024 37.00 C,CALL DRXN SMLCAP BULL 3X$37 EXP 10/04/24,2,$2.47,$1.32,-$495.32
09/11/2024,Buy to Open,AMZN 09/20/2024 182.50 C,CALL AMAZON.COM INC $182.5 EXP 09/20/24,2,$1.81,$1.32,-$363.32
09/11/2024,Buy to Open,TSLA 09/20/2024 230.00 C,CALL TESLA INC $230 EXP 09/20/24,1,$4.66,$0.66,-$466.66
09/11/2024,Sell to Close,NVDA 09/20/2024 107.00 C,CALL NVIDIA CORP $107 EXP 09/20/24,1,$6.95,$0.68,$694.32
09/11/2024,Buy to Open,NVDA 09/20/2024 115.00 C,CALL NVIDIA CORP $115 EXP 09/20/24,1,$2.57,$0.66,-$257.66
09/11/2024,Buy to Open,TSLA 09/20/2024 230.00 C,CALL TESLA INC $230 EXP 09/20/24,1,$4.30,$0.66,-$430.66
09/11/2024,Sell to Close,NVDA 09/13/2024 110.00 C,CALL NVIDIA CORP $110 EXP 09/13/24,1,$2.49,$0.67,$248.33
09/11/2024,Sell to Close,NVDA 09/13/2024 105.00 C,CALL NVIDIA CORP $105 EXP 09/13/24,2,$6.10,$1.36,"$1,218.64"
09/11/2024 as of 09/10/2024,Expired,SPXW 09/10/2024 5510.00 C,CALL S & P 500 INDEX $5510 EXP 09/10/24,-1,,,
09/10/2024,Sell to Close,NVDA 09/13/2024 110.00 C,CALL NVIDIA CORP $110 EXP 09/13/24,1,$1.31,$0.66,$130.34
09/10/2024,Buy to Open,SPXW 09/10/2024 5510.00 C,CALL S & P 500 INDEX $5510 EXP 09/10/24,1,$0.35,$1.13,-$36.13
09/10/2024,Buy to Open,AMZN 09/20/2024 182.50 C,CALL AMAZON.COM INC $182.5 EXP 09/20/24,2,$2.63,$1.32,-$527.32
09/10/2024,Buy to Open,NVDA 09/20/2024 107.00 C,CALL NVIDIA CORP $107 EXP 09/20/24,1,$3.73,$0.66,-$373.66
09/10/2024,Buy to Open,NVDA 09/13/2024 110.00 C,CALL NVIDIA CORP $110 EXP 09/13/24,2,$0.87,$1.32,-$175.32
09/10/2024,Buy to Open,TSLA 09/27/2024 230.00 C,CALL TESLA INC $230 EXP 09/27/24,1,$6.25,$0.66,-$625.66
09/10/2024,Buy to Open,NVDA 09/13/2024 105.00 C,CALL NVIDIA CORP $105 EXP 09/13/24,1,$2.92,$0.66,-$292.66
09/10/2024,Sell to Close,MARA 12/20/2024 28.00 C,CALL MARA HLDGS INC $28 EXP 12/20/24,3,$0.65,$2.00,$193.00
09/10/2024,Sell to Close,UPST 01/17/2025 45.00 C,CALL UPSTART HLDGS INC $45 EXP 01/17/25,1,$3.01,$0.67,$300.33
09/10/2024,Sell,UPST,UPSTART HLDGS INC,50,$32.84,$0.06,"$1,641.94"
09/10/2024,Sell to Close,NVDA 09/13/2024 105.00 C,CALL NVIDIA CORP $105 EXP 09/13/24,1,$4.00,$0.67,$399.33
